usage_frequency,weekly_hours,recommendation_watch_pct,fallback_action,skip_count_range,primary_issue,repetition_frequency,creator_discovery_frequency,recommendation_priority,shorts_discovery_frequency,desired_improvement,satisfaction_score,watch_more_likelihood,skip_count_numeric,click_archetype,click_reasons_count,click_topic_flag,click_creator_flag,click_packaging_flag,ignore_archetype,ignore_reasons_count,ignore_relevance_flag,ignore_packaging_flag,ignore_duration_flag,surface_archetype,surfaces_count,surface_home_flag,surface_shorts_flag,surface_subscriptions_flag,discovery_orientation,desired_count,desired_exploitation_flag,desired_exploration_flag
Multiple times a day,7,30.0,Search for another video,1-5,Old/outdated videos,Sometimes,Rarely,Trending videos,Often,More content variety,7,Neutral,3,Topic_Driven,1,1,0,0,Compound_Friction,2,1,0,1,Home_Exclusive,2,1,0,0,Balanced_Discovery,3,1,1
Several times a week,3,10.0,Search for another video,1-5,Too much clickbait,Rarely,Often,Trending videos,Sometimes,More content variety,10,Very Likely,3,Packaging_Influenced,3,1,0,1,Compound_Friction,3,1,1,1,Omni_Surface,3,1,1,0,Balanced_Discovery,4,1,1
Daily,10,15.0,Browse subscriptions,11-20,Irrelevant videos,Often,Sometimes,My searches,Often,More content variety,7,Neutral,15,Topic_Driven,1,1,0,0,Compound_Friction,1,0,0,0,Subscription_Primary,2,0,0,1,Exploration_Focused,2,0,1
Multiple times a day,1,3.0,Watch Shorts,1-5,Irrelevant videos,Never,Rarely,My subscriptions,Rarely,Better personalization,2,Unlikely,3,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Home_Exclusive,1,1,0,0,Exploration_Focused,1,0,1
Daily,10,50.0,Search for another video,1-5,Too many Shorts,Often,Sometimes,My searches,Rarely,Less clickbait,6,Likely,3,Packaging_Influenced,3,1,1,1,Compound_Friction,3,1,1,1,Omni_Surface,3,1,0,1,Exploitation_Focused,2,1,0
Several times a week,2,56.0,Leave YouTube,11-20,Irrelevant videos,Sometimes,Sometimes,My subscriptions,Rarely,Less clickbait,6,Neutral,15,Topic_Driven,1,1,0,0,Duration_Friction,1,0,0,1,Shorts_Primary,1,0,1,0,Exploration_Focused,1,0,1
Several times a week,2,0.0,Leave YouTube,6-10,Too many Shorts,Sometimes,Sometimes,My searches,Often,More content variety,5,Neutral,8,Packaging_Influenced,2,1,0,1,Compound_Friction,3,1,1,1,Search_Oriented,1,0,0,0,Balanced_Discovery,2,1,1
Rarely,2,100.0,Leave YouTube,1-5,Irrelevant videos,Rarely,Sometimes,Videos similar to what I just watched,Sometimes,Fewer repeated videos,8,Likely,3,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Subscription_Primary,1,0,0,1,Exploitation_Focused,1,1,0
Several times a week,10,10.0,Search for another video,1-5,Too many Shorts,Often,Sometimes,My searches,Rarely,Better recommendations for new interests,5,Neutral,3,Content_Creator_Blend,2,1,1,0,Compound_Friction,2,1,0,1,Home_Hybrid,2,1,0,1,Balanced_Discovery,2,1,1
Daily,1,40.0,Search for another video,>20,Repetitive videos,Sometimes,Sometimes,My subscriptions,Often,Better recommendations for new interests,4,Neutral,25,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Search_Oriented,1,0,0,0,Exploitation_Focused,1,1,0
Daily,10,50.0,Search for another video,1-5,Irrelevant videos,Often,Sometimes,My subscriptions,Sometimes,More content variety,8,Likely,3,Content_Creator_Blend,2,1,1,0,Compound_Friction,3,1,1,0,Omni_Surface,3,1,1,0,Balanced_Discovery,2,1,1
Daily,5,50.0,Look for other recommendations,1-5,Irrelevant videos,Sometimes,Often,Videos similar to what I just watched,Never,Better personalization,4,Likely,3,Content_Creator_Blend,2,1,1,0,Relevance_Friction,1,1,0,0,Search_Oriented,2,0,0,0,Balanced_Discovery,3,1,1
Daily,3,10.0,Leave YouTube,>20,Not my choice,Very Often,Sometimes,My subscriptions,Sometimes,Less clickbait,6,Neutral,25,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Search_Oriented,1,0,0,0,Balanced_Discovery,3,1,1
Multiple times a day,7,10.0,Search for another video,6-10,Repetitive videos,Sometimes,Sometimes,Videos similar to what I just watched,Sometimes,More content variety,5,Likely,8,Topic_Driven,1,1,0,0,Relevance_Friction,1,1,0,0,Home_Exclusive,1,1,0,0,Exploitation_Focused,1,1,0
Daily,2,50.0,Look for other recommendations,6-10,Repetitive videos,Very Often,Sometimes,Videos similar to what I just watched,Often,Fewer repeated videos,8,Likely,8,Content_Creator_Blend,2,1,1,0,Compound_Friction,2,1,1,0,Home_Exclusive,2,1,0,0,Balanced_Discovery,3,1,1
