Timestamp,How often do you use YouTube?,Approximately how many hours do you spend on YouTube per week?,"Approximately what percentage (%) of the videos you watch come from YouTube recommendations (home page, post-video recommendations etc.)? (0-100)",What is/are the main reason(s) you click on a recommended video?,What  is/are the main reason(s) you ignore a recommended video?,Which YouTube recommendation surfaces do you regularly use?,"After ignoring a recommendation, what do you usually do?",How many recommended videos do you typically skip/scroll past before choosing one?,Which issue do you face most often with YouTube recommendations?,How often do you feel YouTube recommends the same type of content repeatedly?,How often do recommendations help you discover new creators you like and want to continue watching?,What kind of recommendations would you like to see more of?,What should YouTube prioritize when recommending videos?,How often do recommendations in Shorts help you discover new creators or topics?  ,"If you could improve one aspect of YouTube recommendations, what would it be?","Overall, how satisfied are you with YouTube's recommendation system?",How likely are you to watch more videos if YouTube's recommendations better matched your interests?
2026/07/19 12:21:22 AM GMT+5:30,Multiple times a day,15,70,Interesting topic / Related to what I just watched;Familiar creator,Not relevant;Clickbait;Too long,Home Feed;Feed from subscribed channels,Search for another video,Nov-20,Too much clickbait,Sometimes,Often,Similar to my interests;Trending content;Local/Regional content;Videos similar to the one I just watched,My watch history,Sometimes,Better personalization,7,Likely
2026/07/19 4:10:29 AM GMT+5:30,Weekly,2,50,Interesting topic / Related to what I just watched,Not relevant;Too long,Shorts Feed;Feed from subscribed channels,Search for another video,01-May,Repetitive videos,Often,Rarely,Similar to my interests;New topics;Authentic,My searches,Often,Less clickbait,5,Likely
2026/07/19 4:17:29 AM GMT+5:30,Several times a week,2,10,Interesting topic / Related to what I just watched,Not relevant,I rarely use recommendations/ I prefer searching,Leave YouTube,01-May,Too many Shorts,Often,Rarely,Similar to my interests,My subscriptions,Never,Better personalization,5,Neutral
2026/07/19 6:46:28 AM GMT+5:30,Multiple times a day,10,75,Interesting topic / Related to what I just watched,Not relevant,Feed from subscribed channels,Search for another video,06-Oct,Irrelevant videos,Sometimes,Sometimes,Similar to my interests,My subscriptions,Never,Better personalization,4,Likely
2026/07/19 7:05:40 AM GMT+5:30,Multiple times a day,20,20,Interesting topic / Related to what I just watched,Not relevant,Up Next,Search for another video,06-Oct,Repetitive videos,Often,Sometimes,Similar to my interests;Trending content,Trending videos,Sometimes,More content variety,8,Likely
2026/07/19 7:53:48 AM GMT+5:30,Multiple times a day,7,30,Interesting topic / Related to what I just watched,Too long;Don't recognize the creator,Home Feed;Explore/Trending,Search for another video,01-May,Old/outdated videos,Sometimes,Rarely,New topics;Trending content;Local/Regional content,Trending videos,Often,More content variety,7,Neutral
2026/07/19 8:04:41 AM GMT+5:30,Several times a week,3,10,Interesting topic / Related to what I just watched;Video duration;Music which i like,Not relevant;Clickbait;Too long,Home Feed;Shorts Feed;I rarely use recommendations/ I prefer searching,Search for another video,01-May,Too much clickbait,Rarely,Often,Similar to my interests;New topics;Smaller creators;Trending content,Trending videos,Sometimes,More content variety,10,Very Likely
2026/07/19 8:05:00 AM GMT+5:30,Daily,10,15,"Content, information ",I may start the video n in minutes find not intresting ,Explore/Trending;Feed from subscribed channels,Browse subscriptions,Nov-20,Irrelevant videos,Often,Sometimes,Smaller creators;Trending content;,My searches,Often,More content variety,7,Neutral
2026/07/19 8:59:54 AM GMT+5:30,Multiple times a day,1,3,Interesting topic / Related to what I just watched;,Not relevant,Home Feed,Watch Shorts,01-May,Irrelevant videos,Never,Rarely,Smaller creators,My subscriptions,Rarely,Better personalization,2,Unlikely
2026/07/19 9:24:03 AM GMT+5:30,Daily,10,50,Interesting topic / Related to what I just watched;Catchy title;Familiar creator,Not relevant;Clickbait;Too long,Home Feed;Explore/Trending;Feed from subscribed channels,Search for another video,01-May,Too many Shorts,Often,Sometimes,Similar to my interests;Videos similar to the one I just watched,My searches,Rarely,Less clickbait,6,Likely
2026/07/19 10:09:00 AM GMT+5:30,Several times a week,2,56,Interesting topic / Related to what I just watched,Too long,Shorts Feed,Leave YouTube,Nov-20,Irrelevant videos,Sometimes,Sometimes,New topics,My subscriptions,Rarely,Less clickbait,6,Neutral
2026/07/19 11:17:40 AM GMT+5:30,Several times a week,2,0,Interesting topic / Related to what I just watched;Catchy title,Not relevant;Uninteresting thumbnail;Too long,I rarely use recommendations/ I prefer searching,Leave YouTube,06-Oct,Too many Shorts,Sometimes,Sometimes,Similar to my interests;New topics,My searches,Often,More content variety,5,Neutral
2026/07/19 11:55:34 AM GMT+5:30,Rarely,2,100,Interesting topic / Related to what I just watched,Not relevant,Feed from subscribed channels,Leave YouTube,01-May,Irrelevant videos,Rarely,Sometimes,Similar to my interests,Videos similar to what I just watched,Sometimes,Fewer repeated videos,8,Likely
2026/07/19 1:43:13 PM GMT+5:30,Several times a week,10,10,Interesting topic / Related to what I just watched;Familiar creator,Not relevant;Too long,Home Feed;Feed from subscribed channels,Search for another video,01-May,Too many Shorts,Often,Sometimes,Similar to my interests;Trending content,My searches,Rarely,Better recommendations for new interests,5,Neutral
2026/07/19 8:47:10 PM GMT+5:30,Daily,1,40,Interesting topic / Related to what I just watched,Not relevant,I rarely use recommendations/ I prefer searching,Search for another video,More than 20,Repetitive videos,Sometimes,Sometimes,Similar to my interests,My subscriptions,Often,Better recommendations for new interests,4,Neutral
2026/07/20 1:20:33 AM GMT+5:30,Daily,10,50,Interesting topic / Related to what I just watched;Familiar creator,Not relevant;Clickbait;Don't recognize the creator,Home Feed;Up Next;Shorts Feed,Search for another video,01-May,Irrelevant videos,Often,Sometimes,Similar to my interests;New topics,My subscriptions,Sometimes,More content variety,8,Likely
2026/07/20 2:01:54 AM GMT+5:30,Daily,5,50,Interesting topic / Related to what I just watched;Familiar creator,Not relevant,Up Next;I rarely use recommendations/ I prefer searching,Look for other recommendations,01-May,Irrelevant videos,Sometimes,Often,Similar to my interests;Smaller creators;Videos similar to the one I just watched,Videos similar to what I just watched,Never,Better personalization,4,Likely
2026/07/20 8:20:36 AM GMT+5:30,Daily,3,10,Interesting topics,Not needed ,I rarely use recommendations/ I prefer searching,Leave YouTube,More than 20,Not my choice ,Very Often,Sometimes,New topics;Smaller creators;Local/Regional content,My subscriptions,Sometimes,Less clickbait,6,Neutral
2026/07/20 11:48:51 AM GMT+5:30,Multiple times a day,7,10,Interesting topic / Related to what I just watched,Not relevant,Home Feed,Search for another video,06-Oct,Repetitive videos,Sometimes,Sometimes,Similar to my interests,Videos similar to what I just watched,Sometimes,More content variety,5,Likely
2026/07/21 10:00:12 AM GMT+5:30,Daily,2,50,Interesting topic / Related to what I just watched;Familiar creator,Not relevant;Clickbait,Home Feed;Up Next,Look for other recommendations,06-Oct,Repetitive videos,Very Often,Sometimes,Similar to my interests;New topics;Videos similar to the one I just watched,Videos similar to what I just watched,Often,Fewer repeated videos,8,Likely
